latitude,longitude,depth,mag,id,place,type
60.2372,-138.2327,9.2,3.5,ak02318zn83a,"Southern Yukon Territory, Canada",earthquake
10.7145,125.4476,69.238,5.4,us6000jjtj,"32 km ENE of Hingatungan, Philippines",earthquake
51.5054,-175.733,32.5,3.9,ak02318yk2x4,"74 km ESE of Adak, Alaska",earthquake
52.2487,-170.417,28.1,3.6,ak02318yfslg,"130 km SW of Nikolski, Alaska",earthquake
62.979,-150.5749,95.6,2.5,ak02318yc4as,"54 km N of Petersville, Alaska",earthquake
-2.8446,129.6184,20.664,4.7,us6000jjsz,"95 km NE of Amahai, Indonesia",earthquake
56.4961,-152.1692,7.3,2.5,ak02318xokyu,"104 km SE of Old Harbor, Alaska",earthquake
19.24283409,-155.404007,30.87000084,2.47,hv73313997,"9 km ENE of Pāhala, Hawaii",earthquake
-23.7222,-179.4605,525.778,4.6,us6000jjsa,south of the Fiji Islands,earthquake
18.12416667,-67.03166667,13.97,3.02,pr71394653,"4 km NNE of San Germán, Puerto Rico",earthquake
-23.3301,-179.8864,528.172,4.5,us6000jjs9,south of the Fiji Islands,earthquake
19.6534996,-155.9646606,23.71999931,2.75,hv73313957,"3 km ENE of Kailua-Kona, Hawaii",earthquake
35.7368333,-117.6218333,10.27,2.59,ci40162687,"14km NNE of Ridgecrest, CA",earthquake
19.26683333,-66.69066667,83.01,3.25,pr71394633,"87 km N of Carrizales, Puerto Rico",earthquake
18.7795,-64.3253,33,4.6,pr2023027001,"70 km NE of Cruz Bay, U.S. Virgin Islands",earthquake
-19.7378,-69.2278,118.092,4.3,us6000jjn7,"109 km ENE of Iquique, Chile",earthquake
-16.5691,-69.7504,195.543,4.5,us6000jjn6,"19 km N of Mazo Cruz, Peru",earthquake
40.588,-124.1238333,17.1,3.23,nc73838231,"3km ESE of Fortuna, CA",earthquake
30.5496,50.3913,10,4.4,us6000jjmx,"15 km ESE of Behbahān, Iran",earthquake
40.3749,-127.1251,10,3.3,us6000jjml,"243 km W of Ferndale, California",earthquake
1.6595,99.459,174.233,4.3,us6000jjmh,"northern Sumatra, Indonesia",earthquake
-49.5504,117.4545,10,5,us6000jjm1,western Indian-Antarctic Ridge,earthquake
31.73685144,-104.1109004,6.915661621,2.9,tx2023bvwo,"48 km W of Mentone, Texas",earthquake
5.0199,-76.2029,103.42,4.5,us6000jjlq,"14 km NNE of San José del Palmar, Colombia",earthquake
2.5703,95.8843,27.512,4.3,us6000jjls,"56 km W of Sinabang, Indonesia",earthquake
8.9232,-82.8946,10.558,3.4,us6000jjlg,"12 km NNW of Río Sereno, Panama",earthquake
19.0359993,-155.4109955,32.93999863,2.47000003,hv73313672,"Island of Hawaii, Hawaii",earthquake
17.979,-66.91433333,11.71,2.68,pr71394593,"0 km S of Fuig, Puerto Rico",earthquake
18.3245,-67.9785,157,3.42,pr2023027000,Mona Passage,earthquake
13.7912,120.5476,110.676,4.5,us6000jjlk,"10 km WSW of Calatagan, Philippines",earthquake
